dataset,model,scenario,MAE,RMSE,R2,train_time_sec,model_size_mb,timestamp,params
diamonds_v2,catboost,clean,732.4676301293283,8770.76510933232,0.9009678601413027,3.0062570571899414,0.1180562973022461,2026-02-02 18:10:24,"{'iterations': 355, 'learning_rate': 0.18864949166858644, 'depth': 4, 'l2_leaf_reg': 0.015393248535710483}"
diamonds_v2,catboost,high_cardinality,732.7457937502464,9556.376915987115,0.8824323753332612,2.7464797496795654,0.11842823028564453,2026-02-02 18:10:30,"{'iterations': 355, 'learning_rate': 0.18864949166858644, 'depth': 4, 'l2_leaf_reg': 0.015393248535710483}"
diamonds_v2,catboost,missingness,783.3343825180923,9159.360251564467,0.8919980779803607,2.7323179244995117,0.11806392669677734,2026-02-02 18:10:27,"{'iterations': 355, 'learning_rate': 0.18864949166858644, 'depth': 4, 'l2_leaf_reg': 0.015393248535710483}"
diamonds_v2,lgbm,clean,552.523794336279,9323.035416373063,0.8881036627688189,0.9270179271697998,1.1581840515136719,,
diamonds_v2,lgbm,high_cardinality,613.754863856837,9767.075892392724,0.8771909626010932,0.9286460876464844,1.1223735809326172,,
diamonds_v2,lgbm,missingness,594.4404567454519,9539.641961112013,0.8828437794030929,0.9025721549987793,1.1868820190429688,,
diamonds_v2,mlp,clean,815.1790395129017,10451.72188673857,0.85937035108127,80.13797092437744,0.9666786193847656,2026-02-02 18:11:51,"{'alpha': 0.003844041400878631, 'learning_rate_init': 0.0039042854472260214, 'hidden_layer_sizes': [155, 116]}"
diamonds_v2,mlp,high_cardinality,1229.251708869892,11440.300651968539,0.831509244167358,316.88247895240784,11.540741920471191,2026-02-02 18:18:37,"{'alpha': 0.003844041400878631, 'learning_rate_init': 0.0039042854472260214, 'hidden_layer_sizes': [155, 116]}"
diamonds_v2,mlp,missingness,1033.3221056670238,11000.933513292397,0.8442025724451441,65.04300284385681,0.9662208557128906,2026-02-02 18:13:06,"{'alpha': 0.003844041400878631, 'learning_rate_init': 0.0039042854472260214, 'hidden_layer_sizes': [155, 116]}"
diamonds_v2,rf,clean,41.6388627728787,789.395717296177,0.9991977850808702,147.95081114768982,18.224854469299316,2026-02-02 18:04:38,"{'n_estimators': 342, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 2}"
diamonds_v2,rf,high_cardinality,41.859002052195216,820.4575823146763,0.9991334104083316,183.78850269317627,18.224854469299316,2026-02-02 18:10:19,"{'n_estimators': 342, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 2}"
diamonds_v2,rf,missingness,42.119286800015814,847.2384305606419,0.9990759137742009,153.96223902702332,18.224854469299316,2026-02-02 18:07:13,"{'n_estimators': 342, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 2}"
diamonds_v2,tabnet,clean,2410.6887040431566,16693.951734579903,0.6412272002028521,26.710397243499756,3.5750226974487305,2026-02-02 21:32:22,"{'batch_size': 512, 'virtual_batch_size': 512, 'n_d': 48, 'n_a': 48, 'n_steps': 3, 'gamma': 1.148092057267047, 'lambda_sparse': 0.0003759825417556633, 'momentum': 0.2555207477651966, 'learning_rate': 0.012170668949596066}"
diamonds_v2,tabnet,high_cardinality,1878.0970097226652,16703.05461458968,0.6408358301779356,26.55903697013855,3.5964155197143555,2026-02-02 21:33:19,"{'batch_size': 512, 'virtual_batch_size': 512, 'n_d': 48, 'n_a': 48, 'n_steps': 3, 'gamma': 1.148092057267047, 'lambda_sparse': 0.0003759825417556633, 'momentum': 0.2555207477651966, 'learning_rate': 0.012170668949596066}"
diamonds_v2,tabnet,missingness,2893.247763047147,17301.226072177855,0.6146503536648965,25.694703102111816,3.5750226974487305,2026-02-02 21:32:50,"{'batch_size': 512, 'virtual_batch_size': 512, 'n_d': 48, 'n_a': 48, 'n_steps': 3, 'gamma': 1.148092057267047, 'lambda_sparse': 0.0003759825417556633, 'momentum': 0.2555207477651966, 'learning_rate': 0.012170668949596066}"
