iterations,learning_rate,depth,l2_leaf_reg,score,state,trial_number
312,0.1540359659501924,9,0.6251373574521749,0.5752212389380531,COMPLETE,0.0
246,0.0022853255256339,4,3.967605077052988,0.49498327759197325,COMPLETE,1.0
380,0.0425888821029008,4,8.123245085588687,0.5803571428571429,COMPLETE,2.0
450,0.0030803400529839,5,0.035498788321965,0.5254777070063694,COMPLETE,3.0
291,0.0161242784585626,7,0.074763120622523,0.5905044510385756,COMPLETE,4.0
384,0.0020940138873937,6,0.1256277350380703,0.5258064516129032,COMPLETE,5.0
337,0.0640786626185101,5,0.3489018845491387,0.5808383233532934,COMPLETE,6.0
378,0.0012790390175145,8,0.0324767357062744,0.5463108320251178,COMPLETE,7.0
219,0.1525506574511738,10,2.6619018884890564,0.5680119581464873,COMPLETE,8.0
291,0.0016778242384077,8,0.2091498132903561,0.5440251572327044,COMPLETE,9.0
484,0.0079352757496459,7,0.0113210218042303,0.587183308494784,COMPLETE,10.0
481,0.0098751998505695,7,0.0113335847455988,0.5905044510385756,COMPLETE,11.0
435,0.0143410456837181,7,0.0107435252755934,0.582089552238806,COMPLETE,12.0
279,0.0129979821054323,6,0.0554102285579577,0.5744360902255639,COMPLETE,13.0
498,0.0056302036478089,8,0.0747572051607845,0.5842026825633383,COMPLETE,14.0
426,0.0287831634967658,6,0.0181596203774844,0.5812220566318927,COMPLETE,15.0
253,0.0169755144590383,9,0.85977261485444,0.5798816568047337,COMPLETE,16.0
342,0.0057424486914695,7,0.0245010595416833,0.5560675883256528,COMPLETE,17.0
207,0.026759615987343,9,0.1079701526443927,0.5667166416791605,COMPLETE,18.0
405,0.0581205539879482,5,0.0515089662380078,0.5774436090225564,COMPLETE,19.0
314,0.0088670041059366,7,0.1705740520398085,0.5757121439280359,COMPLETE,20.0
484,0.0051758659119493,7,0.0101437345620645,0.5666666666666667,COMPLETE,21.0
471,0.0087347713695737,8,0.0170994204053014,0.5845697329376854,COMPLETE,22.0
462,0.0038229403789432,6,0.017153463174591,0.5403726708074534,COMPLETE,23.0
498,0.0092475694786288,7,0.0354078053044576,0.5863095238095238,COMPLETE,24.0
410,0.0222557354175255,8,0.0104221426574266,0.5765230312035661,COMPLETE,25.0
451,0.0110013848454456,6,0.0741196097188535,0.582089552238806,COMPLETE,26.0
364,0.0186000022189104,7,0.4737772386034826,0.5929203539823009,COMPLETE,27.0
359,0.0421458928860759,10,0.9346877636017744,0.5654761904761905,COMPLETE,28.0
315,0.0195744173999205,9,0.4529796795685664,0.582089552238806,COMPLETE,29.0
287,0.0356102008784285,8,1.5657619783661054,0.5756676557863502,COMPLETE,30.0
258,0.0075128961867769,7,0.2430220631306263,0.5609756097560976,COMPLETE,31.0
474,0.0150230997664713,7,0.6114923028934134,0.5849335302806499,COMPLETE,32.0
227,0.0034006057894218,6,0.0224464393847753,0.5316045380875203,COMPLETE,33.0
360,0.0071445508092242,7,0.3584903725849027,0.5804511278195489,COMPLETE,34.0
433,0.0968116572970653,6,0.1356696973414918,0.5786350148367952,COMPLETE,35.0
398,0.0219949487899278,5,9.728583151931058,0.5833333333333334,COMPLETE,36.0
454,0.0112336259254384,8,0.0473555076304922,0.5760709010339734,COMPLETE,37.0
331,0.0041088805633238,7,2.0803046949185697,0.544891640866873,COMPLETE,38.0
483,0.0581205539879482,4,4.353532392496813,0.5761689291101055,COMPLETE,39.0
381,0.0026309808452795,8,0.0265713861154113,0.5476923076923077,COMPLETE,40.0
490,0.0103726548763515,7,0.0140732049830072,0.5799701046337817,COMPLETE,41.0
271,0.0167857434762651,7,0.0367135432783953,0.585949177877429,COMPLETE,42.0
472,0.0069652999175969,6,0.0358651573784766,0.56752655538695,COMPLETE,43.0
497,0.0047499008963435,8,0.0961301947302523,0.5795795795795796,COMPLETE,44.0
439,0.0125579295585351,7,0.0151230668458493,0.587183308494784,COMPLETE,45.0
419,0.0125289994508903,6,0.0132173039419785,0.5714285714285714,COMPLETE,46.0
441,0.0274143330090958,7,0.0241285866010933,0.5752608047690015,COMPLETE,47.0
393,0.0185978654539333,8,0.0149293170962914,0.5861561119293078,COMPLETE,48.0
299,0.0142517315753157,7,0.0664607138365647,0.5791044776119403,COMPLETE,49.0
