iterations,learning_rate,depth,l2_leaf_reg
312,0.1540359659501924,9,0.6251373574521749
246,0.002285325525633921,4,3.9676050770529883
380,0.04258888210290081,4,8.123245085588687
450,0.0030803400529839683,5,0.03549878832196503
291,0.016124278458562614,7,0.07476312062252301
384,0.002094013887393744,6,0.1256277350380703
337,0.06407866261851015,5,0.34890188454913873
378,0.0012790390175145834,8,0.03247673570627449
219,0.15255065745117383,10,2.6619018884890564
291,0.001677824238407793,8,0.2091498132903561
206,0.012278360049275504,10,1.3456110323384836
209,0.1226207363984716,10,1.080868776791315
286,0.1955932357834898,9,0.9307741986073336
256,0.1916423600399613,9,2.535498830348111
252,0.058388920515302145,9,6.982553849208427
474,0.025254538185571596,10,2.0560820822851804
234,0.10930417609092292,8,0.5948533161217281
280,0.006381700160418061,7,0.7394562104687287
327,0.08688645036915149,9,3.181530600452315
419,0.06918990630388729,9,4.611647341646114
422,0.03151338123129124,8,5.021342196169614
340,0.0739530264248215,9,1.470437753698393
344,0.08084871304958134,9,3.879555467818437
429,0.04694595034255959,8,0.0115542217801539
431,0.03965916115124378,7,0.021620324114541355
493,0.020384442156634274,8,0.06676653636204391
364,0.009783250064890553,8,0.010776154204511295
405,0.05983135623778582,7,9.875020282343979
462,0.03830695082186166,6,1.6893806027344118
413,0.006357680520707961,9,0.37575765612217776
