accuracy,f1,roc_auc,train_time_sec,classifier,feature_set,embedding_dim,dataset,label_noise,imbalance_ratio,split_seed
0.978570954687189,0.9785618735384287,0.998628405137658,1.4952800273895264,logreg,embeddings,116,diamonds_v2,0.0,0.0,42
0.9788363298613415,0.9788087454279139,0.9989661628619286,3.219876289367676,rf,embeddings,116,diamonds_v2,0.0,0.0,42
0.9806939560804087,0.980668630829193,0.9992545946506243,22.00122904777527,mlp,embeddings,116,diamonds_v2,0.0,0.0,42
0.9903801499369734,0.9903839985018424,0.9996482350980628,1.7184131145477295,logreg,raw,147,diamonds_v2,0.0,0.0,42
0.9957539972135607,0.9957541777937245,0.999905565424625,2.4173080921173096,rf,raw,147,diamonds_v2,0.0,0.0,42
0.9821535195382471,0.9821518022126128,0.9989459326047988,27.01017117500305,mlp,raw,147,diamonds_v2,0.0,0.0,42
0.9515026869236383,0.9515745300723516,0.9940451914450791,0.20474696159362793,logreg,pca10,10,diamonds_v2,0.0,0.0,42
0.9603264114642075,0.960345744422202,0.9969845866844206,5.329413175582886,rf,pca10,10,diamonds_v2,0.0,0.0,42
0.9766469846745837,0.976625946441458,0.9988136651512365,34.029597997665405,mlp,pca10,10,diamonds_v2,0.0,0.0,42
0.9926358389172693,0.9926381191249516,0.9996974191638297,1.4333088397979736,logreg,lgbm_leaf,202,diamonds_v2,0.0,0.0,42
0.9935646520268029,0.9935653677870824,0.9997566505329769,1.8434607982635498,rf,lgbm_leaf,202,diamonds_v2,0.0,0.0,42
0.9927685265043455,0.9927705440070013,0.9998465986117583,16.410808086395264,mlp,lgbm_leaf,202,diamonds_v2,0.0,0.0,42
