n_estimators,max_depth,learning_rate,subsample,colsample_bytree
244,10,0.0483437145318464,0.8394633936788146,0.6624074561769746
189,3,0.09842315738502598,0.8404460046972835,0.8832290311184181
155,10,0.0823143373099555,0.6849356442713105,0.6727299868828402
196,5,0.016124278458562614,0.7727780074568463,0.7164916560792167
303,4,0.0047014692435609715,0.7465447373174767,0.7824279936868144
347,4,0.015249965725213558,0.836965827544817,0.6185801650879991
302,4,0.001411515549344833,0.9795542149013333,0.9862528132298237
352,5,0.001677824238407793,0.8736932106048627,0.7760609974958406
180,6,0.0011998556988857205,0.9637281608315128,0.7035119926400067
316,5,0.015728674194978587,0.8186841117373118,0.6739417822102108
246,10,0.17018997474271175,0.6118421668094784,0.8607466203112714
246,10,0.17971008649396708,0.6159269215693287,0.8953622178900085
158,8,0.06234929057591457,0.6123373576267324,0.9334421212435824
236,8,0.042004324115603356,0.6031050969805126,0.9724106984106844
225,8,0.1931945028196219,0.6714438631968467,0.9087696049520285
392,8,0.03552888839001809,0.6750130525733469,0.9278441463291867
400,9,0.029178061022635017,0.6844559861351878,0.8312654860425385
400,7,0.0071150116704521175,0.730492679988708,0.9409979113386696
261,9,0.03170538482352298,0.6497405541847502,0.8214780702861255
365,9,0.008013148589656354,0.7238688561107156,0.8837231028128266
279,7,0.11356030476924826,0.6513062127062826,0.9532001530705735
378,9,0.027570205438493655,0.6944838620569671,0.8307796695558712
398,9,0.02672890937970837,0.6470283384585712,0.8491744866410951
325,8,0.003178451500384478,0.7028065140610671,0.9034385969060995
379,10,0.009684338044591137,0.7553207885530411,0.7561907957657856
215,9,0.02262784706294378,0.7870923324313168,0.8013378060023423
268,7,0.062156660495590994,0.6303450120918906,0.9965108784574399
348,8,0.11815711921341177,0.9078193344644001,0.9120064104309591
286,10,0.048783975303108615,0.670726063565328,0.8651250666290947
331,10,0.04271040464336919,0.7140661496439037,0.8283214131807022
