n_estimators,num_leaves,max_depth,learning_rate,subsample,colsample_bytree,score,state,trial_number
244,244,12,0.023852347578447,0.6624074561769746,0.662397808134481,7557.290660486001,COMPLETE,0.0
164,223,9,0.0425888821029008,0.608233797718321,0.9879639408647978,7648.490501736565,COMPLETE,1.0
358,66,2,0.0026425260575499,0.721696897183815,0.8099025726528951,13000.752721662495,COMPLETE,2.0
258,85,10,0.0020940138873937,0.7168578594140872,0.7465447373174766,15253.660922964702,COMPLETE,3.0
264,204,2,0.0152499657252135,0.836965827544817,0.6185801650879991,8565.437587271366,COMPLETE,4.0
302,56,0,0.1525506574511737,0.9862528132298236,0.9233589392465844,7690.589776009534,COMPLETE,5.0
226,38,11,0.0102992142046019,0.6488152939379115,0.798070764044508,8457.404186578135,COMPLETE,6.0
158,234,3,0.0334567421369682,0.7246844304357644,0.8080272084711243,7931.473413058337,COMPLETE,7.0
287,59,16,0.0607580570276163,0.9757995766256756,0.9579309401710596,7385.652047678802,COMPLETE,8.0
300,237,0,0.0028246357083904,0.6180909155642152,0.7301321323053057,12708.848762331967,COMPLETE,9.0
387,129,16,0.1490461851224989,0.993549686458478,0.9151370382614828,7415.107350613806,COMPLETE,10.0
395,135,16,0.1972085571051083,0.9983207549431912,0.9102873485154938,7382.548566155593,COMPLETE,11.0
344,147,16,0.0872301244708898,0.9299408671981652,0.909215878763962,7544.971219863549,COMPLETE,12.0
204,108,14,0.0660293304325979,0.8797148400378587,0.9741402904463496,7370.618087303447,COMPLETE,13.0
178,129,13,0.195823097427018,0.8826398898133131,0.8668982441914541,7458.509131140924,COMPLETE,14.0
205,161,6,0.0830274703455599,0.8953738987563771,0.999485006784306,7243.37854947867,COMPLETE,15.0
206,180,7,0.0067620474121935,0.8073062737637169,0.9896388377013622,10068.092757973754,COMPLETE,16.0
214,107,6,0.0797244416104842,0.8815861952386715,0.868733280530257,7314.13550796957,COMPLETE,17.0
202,169,6,0.0934417700017862,0.9186007623689508,0.8569448224557982,7262.731349305917,COMPLETE,18.0
189,172,5,0.019593486085803,0.9362148766913247,0.8586594325255908,7944.049094350148,COMPLETE,19.0
150,185,4,0.0052127180835518,0.930746472605278,0.6899763412113933,13363.183132860524,COMPLETE,20.0
226,157,7,0.0960252975848774,0.8710696205990669,0.8586558915966798,7326.474311308129,COMPLETE,21.0
224,101,6,0.0384527137978399,0.8416634198004798,0.7724648623906,7552.952743930204,COMPLETE,22.0
202,202,9,0.0965946855659859,0.910597753596865,0.869338681861774,6997.301310530963,COMPLETE,23.0
186,205,9,0.1017788934149328,0.9120963102252088,0.9472908016985484,7576.029688854171,COMPLETE,24.0
244,200,8,0.0472155512357384,0.7616675016944651,0.8360411722503246,7230.276555592614,COMPLETE,25.0
245,203,9,0.0012232840337355,0.7643489443997364,0.8350556357628326,17993.179098673045,COMPLETE,26.0
240,218,8,0.0477377961493553,0.778115444020193,0.8877292757892091,7387.3845418224955,COMPLETE,27.0
174,191,11,0.0257692998736185,0.8199783229636427,0.7716592981385736,7741.671277021788,COMPLETE,28.0
245,255,12,0.0241824708498818,0.7676450620409987,0.695746659876153,7558.645525028528,COMPLETE,29.0
