h1,h2,alpha,learning_rate_init,score,state,trial_number
136,124,0.0015702970884055,0.0015751320499779,7310.109485117781,COMPLETE,0.0
94,47,1.493656855461762e-05,0.0053994844097874,6487.799858312825,COMPLETE,1.0
180,100,1.1527987128232396e-05,0.0087060208783048,6576.22715936853,COMPLETE,2.0
224,52,3.511356313970405e-05,0.0002327067708383,8572.076895513605,COMPLETE,3.0
122,82,0.0001976218934028,0.0003823475224675,7332.73311428881,COMPLETE,4.0
182,45,7.52374288453485e-05,0.0005404103854647,7259.497913121378,COMPLETE,5.0
152,108,3.972110727381908e-05,0.0010677482709481,6620.340509011981,COMPLETE,6.0
178,36,0.0006647135865318,0.0002193048555664,9704.059119988391,COMPLETE,7.0
76,124,0.0078867141299904,0.004138040112561,6662.616689402874,COMPLETE,8.0
122,41,0.0011290133559092,0.0007591104805282,6643.832329175149,COMPLETE,9.0
68,67,1.0535179945522733e-05,0.0027507398856306,8595.470600376691,COMPLETE,10.0
223,89,1.1102804974349517e-05,0.0091131473581738,6300.960448556149,COMPLETE,11.0
246,75,0.0001089134581178,0.0086304205841985,7249.540224900382,COMPLETE,12.0
218,92,2.6588260420223465e-05,0.0037337870210359,7247.3201631446545,COMPLETE,13.0
94,59,1.0551732912517227e-05,0.0059193882858284,7446.732421759564,COMPLETE,14.0
209,83,0.000254750858751,0.0020200513082957,6130.319366149129,COMPLETE,15.0
212,82,0.0062585880170963,0.0020223648114944,8700.008562089615,COMPLETE,16.0
253,108,0.0004181167843333,0.0001169836629519,9050.073458582723,COMPLETE,17.0
201,92,0.0026837172337794,0.0013211699119879,7484.527394606989,COMPLETE,18.0
234,70,0.0002434132837426,0.002314660392772,6715.665715425451,COMPLETE,19.0
196,89,8.966431899104281e-05,0.0007438164419308,7047.941659609176,COMPLETE,20.0
159,60,2.0694693631265888e-05,0.0049705941209238,6388.027561757895,COMPLETE,21.0
146,59,2.321879658981862e-05,0.0035572790543235,5654.426453760719,COMPLETE,22.0
233,61,4.461816688644505e-05,0.0031396590783417,5213.614831004049,COMPLETE,23.0
144,59,5.3122210427253175e-05,0.0031768336336439,7394.87906281512,COMPLETE,24.0
236,69,0.0001347145343471,0.0017997667328438,7727.3745918556015,COMPLETE,25.0
169,53,5.5130671654463427e-05,0.0029812992642816,7419.001303259791,COMPLETE,26.0
195,77,0.0005261001220107,0.0015008708062958,6649.039835348428,COMPLETE,27.0
208,64,0.0001463636736129,0.0063872556247312,7866.618228436352,COMPLETE,28.0
125,74,2.3974222946934742e-05,0.0023791923154223,7003.108023219755,COMPLETE,29.0
