,apt,catboost,lgbm,mlp,rf,tabnet,tabpfn,xgboost
apt,1.0,0.0403043572268289,0.02569541611762971,0.9730600639338802,0.5672704055757918,0.3731355923528288,0.9241641848013459,0.06152623348794917
catboost,0.0403043572268289,1.0,0.9999999338418616,0.4194343635641442,0.9241641848013459,0.9823448887014501,0.5672704055757918,0.9999999338418616
lgbm,0.02569541611762971,0.9999999338418616,1.0,0.32926688490651745,0.8704920404637082,0.9605787910298051,0.4676498726484176,0.9999919077551657
mlp,0.9730600639338802,0.4194343635641442,0.32926688490651745,1.0,0.9889701192635674,0.944412839171484,0.9999988908410944,0.5171639870306348
rf,0.5672704055757918,0.9241641848013459,0.8704920404637082,0.9889701192635674,1.0,0.9999919077551657,0.9981468160817198,0.9605787910298051
tabnet,0.3731355923528288,0.9823448887014501,0.9605787910298051,0.944412839171484,0.9999919077551657,1.0,0.9823448887014501,0.9934796404284028
tabpfn,0.9241641848013459,0.5672704055757918,0.4676498726484176,0.9999988908410944,0.9981468160817198,0.9823448887014501,1.0,0.6661463221588553
xgboost,0.06152623348794917,0.9999999338418616,0.9999919077551657,0.5171639870306348,0.9605787910298051,0.9934796404284028,0.6661463221588553,1.0
