panel,model,predictive_retention,predictive_retention_std,n_retention,shap_jaccard,shap_jaccard_std,n_shap
missingness,apt,0.012431162376916697,0.08258090065068333,3,,,0
missingness,catboost,-0.010474718336241945,0.010515430663234957,4,0.8257575757575758,0.11809437324333256,4
missingness,lgbm,0.0005257580045806565,0.004998028832307796,4,0.8181818181818182,0.0,2
missingness,mlp,-0.008485115760622525,0.011932432801814807,4,0.616938616938617,0.3351324241018333,4
missingness,rf,0.0011121592135078795,0.016313175532472197,4,0.8391608391608392,0.18881118881118883,4
missingness,tabnet,0.0364465570265603,0.12129146494455724,4,0.5369674185463659,0.34552567292941494,4
missingness,tabpfn,-0.010705884678487468,0.007781536658252556,3,,,0
high_cardinality,apt,0.015161072198887257,0.03864096746580026,3,,,0
high_cardinality,catboost,-0.008116211865152295,0.021650061230197193,4,0.8712121212121212,0.13948448969334826,4
high_cardinality,lgbm,-0.01537001776289848,0.012984470635086162,4,0.7424242424242424,0.0757575757575758,2
high_cardinality,mlp,-0.02136116061650578,0.03193700040957863,4,0.3611111111111111,0.19837301190396806,4
high_cardinality,rf,-0.011213802149330848,0.01215498640314424,4,0.7103729603729604,0.11695007133094104,4
high_cardinality,tabnet,0.07395144985397419,0.08437575474066501,4,0.42158280316175045,0.22907454335334945,4
high_cardinality,tabpfn,-0.06275946275946276,0.6801103590292228,3,,,0
covariate_shift,apt,-0.07881789234680076,0.1336143496198614,3,,,0
covariate_shift,catboost,-0.24311909693539768,0.13774339806560063,3,0.9393939393939394,0.08570991287109665,3
covariate_shift,mlp,-0.08969983889907718,0.07927500293888447,3,0.6984126984126983,0.2343622707973556,3
covariate_shift,rf,-0.14616331087488124,0.1846107587337441,3,0.8787878787878789,0.08570991287109664,3
covariate_shift,tabnet,-0.1719243715483719,0.12156892232622478,3,0.4671717171717171,0.25052236010577594,3
covariate_shift,tabpfn,-0.22551517140669075,0.24407568031283594,3,,,0
