model,avg_gap_to_best_pct,avg_elapsed_sec,avg_model_size_mb
xgboost,6.09,57.504889249801636,2.199881076812744
catboost,5.4,86.59710343678792,0.839659849802653
lgbm,4.8,34.991494496663414,1.1341228485107422
rf,18.78,254.23587262630463,11.606230099995932
tabnet,8.83,1383.7128236691158,31.028583844502766
mlp,13.29,745.1023538510004,3.617529551188151
tabpfn,16.04,146.7319969534874,33.77831172943115
apt,40.11,19.213147044181824,132.28846168518066
