n_estimators,max_depth,learning_rate,subsample,colsample_bytree
244,10,0.0483437145318464,0.8394633936788146,0.6624074561769746
189,3,0.09842315738502598,0.8404460046972835,0.8832290311184181
155,10,0.0823143373099555,0.6849356442713105,0.6727299868828402
196,5,0.016124278458562614,0.7727780074568463,0.7164916560792167
303,4,0.0047014692435609715,0.7465447373174767,0.7824279936868144
347,4,0.015249965725213558,0.836965827544817,0.6185801650879991
302,4,0.001411515549344833,0.9795542149013333,0.9862528132298237
352,5,0.001677824238407793,0.8736932106048627,0.7760609974958406
180,6,0.0011998556988857205,0.9637281608315128,0.7035119926400067
316,5,0.015728674194978587,0.8186841117373118,0.6739417822102108
394,8,0.005433630694489156,0.6071847502459278,0.6058053867520206
348,7,0.017445792947322823,0.8978643597802943,0.6030314018754371
346,3,0.0357665876389972,0.7268448517110706,0.870822664470964
265,6,0.0053755321577306885,0.9131619449397814,0.6434336723634169
392,5,0.009532847842103922,0.8114788422315042,0.7385350753588572
399,7,0.19582309742701834,0.6750130525733469,0.7426079662571843
371,4,0.008663129088894793,0.7980181763322469,0.8752918047800797
361,4,0.0027559667496580773,0.9337585570065023,0.8707428320924286
329,3,0.029996097475515234,0.7863937043824627,0.9373694573893926
324,3,0.033223839233860346,0.8650068393934399,0.9793435016612175
246,3,0.03490956896892433,0.8759016448768311,0.991442309779317
235,3,0.032743435136332565,0.8696571766153984,0.9933820803219383
281,3,0.02672890937970837,0.881623703199249,0.939955667112251
324,3,0.0552091888228536,0.774439933428912,0.9423355550282764
226,9,0.09020193807679276,0.9246665012772488,0.9417539177525217
275,3,0.023488680386391746,0.9518512454679122,0.9176222543215997
255,4,0.04976768120995724,0.861053960228591,0.8362327113486469
327,3,0.14726735742991615,0.9982453184444215,0.969469543317352
289,6,0.009130525948472018,0.7159372638966285,0.9996662460071402
210,5,0.06835818615431981,0.7856209091571007,0.9099459989711456
