n_estimators,max_depth,learning_rate,subsample,colsample_bytree,score,state,trial_number
244,10,0.0483437145318464,0.8394633936788146,0.6624074561769746,0.8158534375503006,COMPLETE,0.0
189,3,0.0984231573850259,0.8404460046972835,0.8832290311184181,0.7614416910462407,COMPLETE,1.0
155,10,0.0823143373099555,0.6849356442713105,0.6727299868828402,0.8087904166396682,COMPLETE,2.0
196,5,0.0161242784585626,0.7727780074568463,0.7164916560792167,0.7504211754033565,COMPLETE,3.0
303,4,0.0047014692435609,0.7465447373174767,0.7824279936868144,0.6991437106412097,COMPLETE,4.0
347,4,0.0152499657252135,0.836965827544817,0.6185801650879991,0.7433233384674742,COMPLETE,5.0
302,4,0.0014115155493448,0.9795542149013332,0.9862528132298236,0.6678143924817208,COMPLETE,6.0
352,5,0.0016778242384077,0.8736932106048627,0.7760609974958406,0.7030001813012569,COMPLETE,7.0
180,6,0.0011998556988857,0.9637281608315128,0.7035119926400067,0.730974186910488,COMPLETE,8.0
316,5,0.0157286741949785,0.8186841117373118,0.6739417822102108,0.7664634516841189,COMPLETE,9.0
244,10,0.0399749515493957,0.6071847502459278,0.6061470949312417,0.8067283738075466,COMPLETE,10.0
244,10,0.1679542327504099,0.6719331269140577,0.8574850946495295,0.787648771103855,COMPLETE,11.0
153,8,0.0543692226842884,0.7134092165474106,0.6630805404110562,0.7986753893828611,COMPLETE,12.0
235,8,0.0459999777547688,0.9148886768311733,0.7372114918378742,0.8087594374777227,COMPLETE,13.0
225,9,0.1946183639340203,0.6345475687277081,0.6453350549066903,0.7815731939115369,COMPLETE,14.0
392,8,0.0735960298805837,0.7057063802548302,0.8365712172821215,0.8138409068131455,COMPLETE,15.0
400,8,0.029178061022635,0.758297866718882,0.8550999529674667,0.8168272521455273,COMPLETE,16.0
400,7,0.0069854708993715,0.7800911589038579,0.9155402252803692,0.7866650468727854,COMPLETE,17.0
286,9,0.0297945266290316,0.9023968915894506,0.9281889012746768,0.8208791431290368,COMPLETE,18.0
364,7,0.0275658043916616,0.9187994680514904,0.9379744223009374,0.8096493530047713,COMPLETE,19.0
287,9,0.0069770868892079,0.8799047573537158,0.9804908021864014,0.7876900432953019,COMPLETE,20.0
262,9,0.0275702054384936,0.878181975546882,0.8223511697930697,0.815828081099552,COMPLETE,21.0
330,9,0.0267289093797083,0.9228429196093756,0.9000775239760923,0.8177729925950084,COMPLETE,22.0
325,9,0.0276405558058329,0.9308362503384908,0.9172410038329306,0.8207833460960322,COMPLETE,23.0
332,9,0.0092030274563267,0.9568598909474468,0.936357291190529,0.7986753893828611,COMPLETE,24.0
276,7,0.0224368263229021,0.9275027352328516,0.8981204648401571,0.7966193028730253,COMPLETE,25.0
325,9,0.0039503282650779,0.9394269694977015,0.9561660890223752,0.7796136055082932,COMPLETE,26.0
362,8,0.0125094157289339,0.9994038854776084,0.8836569973856339,0.7855317338519745,COMPLETE,27.0
299,6,0.0218743038435166,0.898780860004798,0.9991176459359316,0.7915967373876616,COMPLETE,28.0
377,10,0.1217770081744265,0.8537214619681349,0.9476077563455207,0.7976374116662801,COMPLETE,29.0
