feature,importance
"Name_Mack, Mrs. (Mary)",0.0
"Name_Madill, Miss. Georgette Alexandra",0.0
"Name_Marvin, Mr. Daniel Warner",0.0
"Name_Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",0.0
"Name_McCarthy, Mr. Timothy J",0.0
"Name_McGough, Mr. James Robert",0.0
"Name_Millet, Mr. Francis Davis",0.0
"Name_Minahan, Miss. Daisy E",0.0
"Name_Moen, Mr. Sigurd Hansen",0.0
"Name_Molson, Mr. Harry Markland",0.0
"Name_Moor, Master. Meier",0.0
"Name_Moor, Mrs. (Beila)",0.0
"Name_Natsch, Mr. Charles H",0.0
"Name_Navratil, Master. Edmond Roger",0.0
"Name_Navratil, Master. Michel M",0.0
"Name_Navratil, Mr. Michel (""Louis M Hoffman"")",0.0
"Name_Newell, Miss. Madeleine",0.0
"Name_Newell, Miss. Marjorie",0.0
"Name_Newell, Mr. Arthur Webster",0.0
"Name_Newsom, Miss. Helen Monypeny",0.0
"Name_Ostby, Mr. Engelhart Cornelius",0.0
"Name_Partner, Mr. Austen",0.0
"Name_Pears, Mrs. Thomas (Edith Wearne)",0.0
"Name_Penasco y Castellana, Mr. Victor de Satode",0.0
"Name_Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",0.0
"Name_Perreault, Miss. Anne",0.0
"Name_Peuchen, Major. Arthur Godfrey",0.0
"Name_Pickard, Mr. Berk (Berk Trembisky)",0.0
"Name_Porter, Mr. Walter Chamberlain",0.0
"Name_Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",0.0
"Name_Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",0.0
"Name_Roebling, Mr. Washington Augustus II",0.0
"Name_Ross, Mr. John Hugo",0.0
"Name_Sagesser, Mlle. Emma",0.0
"Name_Sandstrom, Miss. Marguerite Rut",0.0
"Name_Silverthorne, Mr. Spencer Victor",0.0
"Name_Silvey, Mr. William Baird",0.0
"Name_Silvey, Mrs. William Baird (Alice Munger)",0.0
"Name_Simonius-Blumer, Col. Oberst Alfons",0.0
"Name_Smith, Mr. James Clinch",0.0
"Name_Soholt, Mr. Peter Andreas Lauritz Andersen",0.0
"Name_Stahelin-Maeglin, Dr. Max",0.0
"Name_Stephenson, Mrs. Walter Bertram (Martha Eustis)",0.0
"Name_Strom, Miss. Telma Matilda",0.0
"Name_Strom, Mrs. Wilhelm (Elna Matilda Persson)",0.0
"Name_Sutton, Mr. Frederick",0.0
"Name_Swift, Mrs. Frederick Joel (Margaret Welles Barron)",0.0
"Name_Taussig, Miss. Ruth",0.0
"Name_Taussig, Mr. Emil",0.0
"Name_Taussig, Mrs. Emil (Tillie Mandelbaum)",0.0
"Name_Taylor, Mr. Elmer Zebley",0.0
"Name_Thayer, Mr. John Borland",0.0
"Name_Thayer, Mr. John Borland Jr",0.0
"Name_Thayer, Mrs. John Borland (Marian Longstreth Morris)",0.0
"Name_Troutt, Miss. Edwina Celia ""Winnie""",0.0
"Name_Walker, Mr. William Anderson",0.0
"Name_Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",0.0
"Name_Webber, Miss. Susan",0.0
"Name_Widener, Mr. Harry Elkins",0.0
"Name_Young, Miss. Marie Grice",0.0
Sex_female,236416840765.41818
Sex_male,0.00259442374708371
Ticket_110152,20617463693.108925
Ticket_110413,0.0
Ticket_110465,0.0
Ticket_110564,0.0
Ticket_110813,0.0
Ticket_111320,0.0
Ticket_111361,0.0
Ticket_111369,0.0
Ticket_112050,0.0
Ticket_113043,0.0
Ticket_113050,0.0
Ticket_113051,0.0
Ticket_113055,0.0
Ticket_113501,0.0
Ticket_113503,0.0
Ticket_113509,0.0
Ticket_113760,40324239133.1784
Ticket_113773,0.0
Ticket_113776,3031732798.2349963
Ticket_113781,0.0
Ticket_113784,0.0
Ticket_113786,0.0
Ticket_113787,0.0
Ticket_113803,0.0005515305138121384
Ticket_113806,146291798765.1241
Ticket_11751,0.0
Ticket_11752,0.0
Ticket_11753,0.0
Ticket_11767,0.0
Ticket_11769,0.0
Ticket_11771,0.0
Ticket_11813,0.0
Ticket_11967,0.0
Ticket_12749,0.0
Ticket_13049,0.0
Ticket_13213,0.0
Ticket_13214,0.0
Ticket_13502,0.0
Ticket_13507,0.0
Ticket_13509,0.0
Ticket_13568,0.0
Ticket_16966,0.000363986859709739
Ticket_17421,0.0
Ticket_17453,0.0
Ticket_17463,0.0
Ticket_17465,0.0
Ticket_17466,0.0
Ticket_17764,0.0
Ticket_19928,4.597312410280219e-05
Ticket_19943,0.0
Ticket_19950,1306330064581.7944
Ticket_19952,0.0
Ticket_19996,0.0
Ticket_230080,0.0
Ticket_230136,0.0
Ticket_24160,0.0
Ticket_248698,0.0
Ticket_248733,0.0
Ticket_27042,0.0
Ticket_27267,0.0
Ticket_28551,0.0
Ticket_33638,0.0
Ticket_34218,0.0
Ticket_347054,0.0
Ticket_348123,0.0
Ticket_348124,0.0
Ticket_35273,0.0
Ticket_36947,0.0
Ticket_36963,0.0
Ticket_36967,0.0
Ticket_36973,0.0
Ticket_392096,0.0
Ticket_5727,0.0
Ticket_C.A. 34260,0.0
Ticket_F.C. 12750,0.0
Ticket_PC 17473,0.0
Ticket_PC 17475,0.0
Ticket_PC 17476,0.0
Ticket_PC 17477,0.0
Ticket_PC 17482,0.0
Ticket_PC 17485,0.0
Ticket_PC 17558,0.0
Ticket_PC 17569,0.0
Ticket_PC 17572,0.0
Ticket_PC 17582,0.0006500613629832497
Ticket_PC 17590,0.0
Ticket_PC 17592,0.0
Ticket_PC 17593,0.0
Ticket_PC 17595,0.0
Ticket_PC 17596,0.0
Ticket_PC 17599,0.0
Ticket_PC 17610,0.0
Ticket_PC 17754,0.0
Ticket_PC 17755,0.0018037778876734314
Ticket_PC 17756,0.0
Ticket_PC 17757,0.0
Ticket_PC 17758,0.0
Ticket_PC 17759,0.0
Ticket_PC 17760,0.0
Ticket_PP 9549,0.0018290504645714907
Ticket_S.O./P.P. 3,0.0
Ticket_SC/AH Basle 541,0.0
Ticket_SC/Paris 2163,0.0
Ticket_SOTON/O.Q. 392078,0.0
Ticket_W.E.P. 5734,0.0
Ticket_WE/P 5735,0.0
Cabin_A10,0.0
Cabin_A20,0.0
Cabin_A23,0.0
Cabin_A24,0.0
Cabin_A26,0.0
Cabin_A34,0.0
Cabin_A36,0.0
Cabin_A5,0.0
Cabin_A7,0.0
Cabin_B101,0.0
Cabin_B18,0.0
Cabin_B22,0.0
Cabin_B3,0.0
Cabin_B30,0.0
Cabin_B35,0.0
Cabin_B37,0.0
Cabin_B38,0.0
Cabin_B39,0.0
Cabin_B4,0.0
Cabin_B49,0.0
Cabin_B5,0.0
Cabin_B50,0.0
Cabin_B58 B60,0.0
Cabin_B69,0.0
Cabin_B71,0.0
Cabin_B73,0.0
Cabin_B77,0.0008344454231594473
Cabin_B80,0.0
Cabin_B82 B84,0.0
Cabin_B86,0.0
Cabin_B96 B98,0.0006159787650503793
Cabin_C101,0.0
Cabin_C104,0.0
Cabin_C110,0.0
Cabin_C111,0.0
Cabin_C118,0.0
Cabin_C123,0.000574930944137446
Cabin_C124,0.0
Cabin_C125,0.0
Cabin_C126,0.0
Cabin_C148,0.0
Cabin_C2,0.0013192715061782683
Cabin_C22 C26,0.00048482629142481
Cabin_C23 C25 C27,0.0014540841733022283
Cabin_C30,0.0
Cabin_C32,0.0
Cabin_C45,0.0
Cabin_C49,0.0
Cabin_C50,0.0
Cabin_C52,0.0
Cabin_C54,0.0
Cabin_C62 C64,0.0
Cabin_C65,0.0
Cabin_C68,0.0
Cabin_C70,0.0
Cabin_C78,0.0004346322483049165
Cabin_C82,0.0
Cabin_C83,0.0
Cabin_C85,0.0
Cabin_C90,0.0
Cabin_C91,0.0
Cabin_C92,0.0
Cabin_C93,0.0
Cabin_C99,0.0
Cabin_D,0.0
Cabin_D10 D12,0.0
Cabin_D11,0.0
Cabin_D15,0.0
Cabin_D17,0.0
Cabin_D19,0.0
Cabin_D20,3.0444564336425096e+27
Cabin_D28,0.0
Cabin_D30,0.0
Cabin_D33,0.0
Cabin_D35,0.0
Cabin_D36,0.0
Cabin_D37,0.0
Cabin_D46,0.0
Cabin_D47,0.0
Cabin_D48,0.0
Cabin_D49,0.0
Cabin_D50,0.0
Cabin_D56,0.0
Cabin_D6,0.0
Cabin_D7,0.0
Cabin_D9,0.0
Cabin_E10,0.0
