n_estimators,max_depth,learning_rate,subsample,colsample_bytree
244,10,0.0483437145318464,0.8394633936788146,0.6624074561769746
189,3,0.09842315738502598,0.8404460046972835,0.8832290311184181
155,10,0.0823143373099555,0.6849356442713105,0.6727299868828402
196,5,0.016124278458562614,0.7727780074568463,0.7164916560792167
303,4,0.0047014692435609715,0.7465447373174767,0.7824279936868144
347,4,0.015249965725213558,0.836965827544817,0.6185801650879991
302,4,0.001411515549344833,0.9795542149013333,0.9862528132298237
352,5,0.001677824238407793,0.8736932106048627,0.7760609974958406
180,6,0.0011998556988857205,0.9637281608315128,0.7035119926400067
316,5,0.015728674194978587,0.8186841117373118,0.6739417822102108
246,10,0.17018997474271175,0.6118421668094784,0.8607466203112714
246,10,0.17971008649396708,0.6159269215693287,0.8953622178900085
246,8,0.1738848592702039,0.6139855155065097,0.8943722893589613
255,8,0.19889511069471139,0.6017937280697174,0.8741136212923317
271,8,0.039311723177448354,0.6835747106982148,0.9775688854112696
392,8,0.036460930966840555,0.6750130525733469,0.9209734322737062
231,9,0.08615585426132423,0.6480217130120622,0.8312654860425385
210,7,0.005119748940440037,0.7382141444030969,0.9336171001038939
273,9,0.18269477343072504,0.9159862754125332,0.8255853339663187
221,9,0.0596271810795416,0.6043956756975085,0.9423507471354066
273,7,0.025230475440605096,0.7185280877576902,0.835363485170408
250,10,0.1950457259126972,0.6375983292911458,0.8708144518237271
259,9,0.11765327202347071,0.6470283384585712,0.8825383405000677
294,10,0.13144609948601138,0.6412102336823258,0.7546292345952035
294,8,0.11328819410390553,0.6526851851437103,0.7507983883065513
328,9,0.06909791136394615,0.6510872105295117,0.7492828099645131
293,10,0.11668398614008749,0.7113139176101531,0.7684773606745255
333,7,0.027659014001080773,0.7814642143001149,0.7386447567862833
290,9,0.12397318996180134,0.6604949868454103,0.8043084664311199
376,10,0.055682804199563334,0.7145720774712253,0.6006813878893578
