dataset,model,MAE,RMSE,R2,best_value,elapsed_sec,model_size_mb,Accuracy,F1
diamonds_v2,catboost,417.4494004676547,1575.7765952355714,0.9952387861258134,5701.157278241463,95.20216608047484,0.2622289657592773,,
diamonds_v2,lgbm,305.5158710929931,2656.9879972413037,0.98646346270519,6997.301310530963,61.88881182670593,0.9464807510375975,,
diamonds_v2,mlp,495.3736960367031,2060.2911570947786,0.9918607273617118,5173.422126317722,1726.5760898590088,0.950702667236328,,
diamonds_v2,rf,33.684930529705746,130.67261174945787,0.9999672585776604,422.3842075600554,751.74285197258,15.706513404846191,,
diamonds_v2,tabnet,859.081175591613,2549.0620361466617,0.9875408272062348,5441.65123245903,6412.008437871933,4.9387006759643555,,
diamonds_v2,xgboost,65.24248504638672,133.94252352921757,0.9999656081199646,6558.050320026525,82.9806399345398,3.6052379608154297,,
diamonds_v3,catboost,419.23291986011975,1614.983028721223,0.994998913977732,5715.236123514431,107.09456086158752,0.5138168334960938,,
diamonds_v3,lgbm,302.333952050149,1587.983025030247,0.9951647368977568,6889.644320776994,27.786674976348877,0.692255973815918,,
diamonds_v3,mlp,881.6044124688123,5408.206994646157,0.943916512742327,5213.614831004049,2294.3940641880035,1.1129159927368164,,
diamonds_v3,rf,33.326644536109605,98.46228847591946,0.9999814104768288,431.7222912788198,735.594694852829,17.29518222808838,,
diamonds_v3,tabnet,1818.187664158776,9524.269771786368,0.8260630800406197,5303.224008889849,455.0683710575104,4.8074140548706055,,
diamonds_v3,xgboost,50.651707016210885,99.49788255043453,0.999981017383407,7877.699403373094,42.846238136291504,4.176600456237793,,
drybean,catboost,,,,0.8168272521455273,18.976603984832764,1.724407196044922,0.9859154929577464,0.9859140673080038
drybean,lgbm,,,,0.8218794893834149,14.883018016815186,2.3099098205566406,0.9869215291750504,0.9869192917670092
drybean,mlp,,,,0.6801071257072255,30.002104997634888,0.4484682083129883,0.7665995975855131,0.7664142488442667
drybean,rf,,,,0.775602822807197,8.726181030273438,27.614602088928223,0.9517102615694164,0.9516944210458108
drybean,tabnet,,,,0.7523937979974725,773.9480128288269,1.6775388717651367,0.8390342052313883,0.8389063785132873
drybean,xgboost,,,,0.8208791431290368,6.397243022918701,2.126885414123535,0.9678068410462776,0.9678056680161944
mnist,catboost,,,,0.9832465906550414,34.11658191680908,1.3361921310424805,1.0,1.0
mnist,lgbm,,,,0.9693140849836156,90.2780601978302,1.9709968566894531,1.0,1.0
mnist,mlp,,,,0.9858964109664704,17.666815042495728,0.3138446807861328,0.9972222222222222,0.997221686282076
mnist,rf,,,,0.9689484859668324,6.786602973937988,7.899849891662598,1.0,1.0
mnist,tabnet,,,,0.9887987428242276,119.04021692276,3.0158872604370117,1.0,1.0
mnist,xgboost,,,,0.9689849261593766,28.25814414024353,2.6109886169433594,1.0,1.0
telco,catboost,,,,0.5929203539823009,254.2378168106079,0.9978294372558594,0.8130774697938877,0.6068759342301944
telco,lgbm,,,,0.6011730205278593,10.831799030303957,0.6811103820800781,0.8500355366027008,0.697274031563845
telco,mlp,,,,0.6319702602230484,398.45394682884216,16.319650650024414,0.8009950248756219,0.6067415730337079
telco,rf,,,,0.0,17.116899728775024,0.1622095108032226,0.7341862117981521,0.0
telco,tabnet,,,,0.6229508196721312,529.0511453151703,166.40437602996826,0.9410092395167022,0.8839160839160839
telco,xgboost,,,,0.5918367346938775,182.21948528289795,0.2771377563476562,0.8109452736318408,0.6133720930232558
titanic,catboost,,,,0.8979591836734694,9.954890966415403,0.2034845352172851,1.0,1.0
titanic,lgbm,,,,0.88,4.280602931976318,0.2039833068847656,0.918918918918919,0.9411764705882352
titanic,mlp,,,,0.8620689655172413,3.5211021900177,2.5595951080322266,0.6756756756756757,0.8064516129032258
titanic,rf,,,,0.8620689655172413,5.448005199432373,0.9590234756469728,0.8648648648648649,0.9090909090909092
titanic,tabnet,,,,0.8064516129032258,13.160758018493652,5.3275861740112305,0.6756756756756757,0.8064516129032258
titanic,xgboost,,,,0.8679245283018868,2.327584981918335,0.4024362564086914,0.945945945945946,0.96
