iter	RMSE
311	4033.671761
312	4031.220019
313	4025.417504
314	4021.787385
315	4019.571453
316	4017.688409
317	4014.328646
318	4010.905869
319	4007.280329
320	4003.6109
321	4001.18217
322	3992.000457
323	3989.316985
324	3985.307948
325	3982.973049
326	3977.739056
327	3973.360809
328	3970.01923
329	3957.695157
330	3954.752899
331	3952.302314
332	3948.675139
333	3944.696389
334	3942.097518
335	3938.01862
336	3933.398746
337	3929.38665
338	3925.765929
339	3916.478538
340	3912.070602
341	3905.986386
342	3903.639658
343	3900.840369
344	3897.598426
345	3888.895739
346	3885.384886
347	3881.771284
348	3878.161472
349	3875.509026
350	3861.959161
351	3857.657938
352	3854.333902
353	3844.971017
354	3842.677596
