feature,importance
"Name_Minahan, Miss. Daisy E",3.7992469244561276e-06
"Name_Moen, Mr. Sigurd Hansen",0.00020014590903770176
"Name_Molson, Mr. Harry Markland",0.00030543347091971373
"Name_Moor, Master. Meier",6.54887299053464e-05
"Name_Moor, Mrs. (Beila)",1.5153820005745869e-05
"Name_Natsch, Mr. Charles H",0.00033069274779291656
"Name_Navratil, Master. Edmond Roger",0.00012524560559137602
"Name_Navratil, Master. Michel M",2.8246297276063927e-05
"Name_Navratil, Mr. Michel (""Louis M Hoffman"")",0.0005577613859575842
"Name_Newell, Miss. Madeleine",2.3674305686356078e-05
"Name_Newell, Miss. Marjorie",1.7718817533160586e-05
"Name_Newell, Mr. Arthur Webster",0.0003004824850742064
"Name_Newsom, Miss. Helen Monypeny",6.865023771057739e-05
"Name_Ostby, Mr. Engelhart Cornelius",0.00030896337784838836
"Name_Partner, Mr. Austen",0.0003055629084816988
"Name_Pears, Mrs. Thomas (Edith Wearne)",2.227880174873908e-06
"Name_Penasco y Castellana, Mr. Victor de Satode",0.0006018861771469928
"Name_Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",8.715225154281635e-06
"Name_Perreault, Miss. Anne",4.349131348830356e-05
"Name_Peuchen, Major. Arthur Godfrey",7.97004150358586e-05
"Name_Pickard, Mr. Berk (Berk Trembisky)",0.0001852445203743956
"Name_Porter, Mr. Walter Chamberlain",0.0002839287948692713
"Name_Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",4.666477615864594e-05
"Name_Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1.4419736181835226e-05
"Name_Roebling, Mr. Washington Augustus II",0.0004527675771970776
"Name_Ross, Mr. John Hugo",0.0003670560602742272
"Name_Sagesser, Mlle. Emma",1.1001424438994014e-05
"Name_Sandstrom, Miss. Marguerite Rut",4.0143088707450346e-05
"Name_Silverthorne, Mr. Spencer Victor",0.0001602341918488054
"Name_Silvey, Mr. William Baird",0.0003449451705160032
"Name_Silvey, Mrs. William Baird (Alice Munger)",5.4565298981133694e-06
"Name_Simonius-Blumer, Col. Oberst Alfons",0.0001352024730066198
"Name_Smith, Mr. James Clinch",0.00032540261344981143
"Name_Soholt, Mr. Peter Andreas Lauritz Andersen",0.0002434053748910585
"Name_Stahelin-Maeglin, Dr. Max",0.0001420836837441963
"Name_Stephenson, Mrs. Walter Bertram (Martha Eustis)",4.101673510170568e-06
"Name_Strom, Miss. Telma Matilda",0.0005484879489015621
"Name_Strom, Mrs. Wilhelm (Elna Matilda Persson)",0.0005565808823252184
"Name_Sutton, Mr. Frederick",0.0002536668448992182
"Name_Swift, Mrs. Frederick Joel (Margaret Welles Barron)",6.517813338889706e-05
"Name_Taussig, Miss. Ruth",8.741278449876895e-06
"Name_Taussig, Mr. Emil",0.0002327878519075734
"Name_Taussig, Mrs. Emil (Tillie Mandelbaum)",1.5328780374116482e-05
"Name_Taylor, Mr. Elmer Zebley",0.00016799170841445273
"Name_Thayer, Mr. John Borland",0.0004149739800738507
"Name_Thayer, Mr. John Borland Jr",0.00010512362326729642
"Name_Thayer, Mrs. John Borland (Marian Longstreth Morris)",4.897846953607724e-06
"Name_Troutt, Miss. Edwina Celia ""Winnie""",1.0165318652332641e-05
"Name_Walker, Mr. William Anderson",0.0001762604960653423
"Name_Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",9.782899997488015e-05
"Name_Webber, Miss. Susan",3.809433329744604e-05
"Name_Widener, Mr. Harry Elkins",0.00030650984335383864
"Name_Young, Miss. Marie Grice",4.120168029490003e-05
Sex_female,0.06565307628256108
Sex_male,0.060624015384189066
Ticket_110152,0.00047182495887579455
Ticket_110413,0.00017317951576971354
Ticket_110465,0.0002526949718926328
Ticket_110564,0.00014979689979064103
Ticket_110813,3.1229516647338845e-05
Ticket_111320,0.00024282395560587885
Ticket_111361,4.397450461284217e-05
Ticket_111369,7.900886958218755e-05
Ticket_112050,0.00044026697882937636
Ticket_113043,0.0002786809946364847
Ticket_113050,0.00028256208591899515
Ticket_113051,0.0003213470400286935
Ticket_113055,0.00017782729335699275
Ticket_113501,0.0003037359767256782
Ticket_113503,0.0003685720401181308
Ticket_113509,0.00021185063014671085
Ticket_113760,0.00047331602245167403
Ticket_113773,0.0003962641651755572
Ticket_113776,0.000617269434801002
Ticket_113781,0.0038534176026721397
Ticket_113784,0.000340366094091683
Ticket_113786,9.593656013736669e-05
Ticket_113787,0.0004024640376496602
Ticket_113803,8.255167348343667e-05
Ticket_113806,0.00011485166185478563
Ticket_11751,0.00014420612062233864
Ticket_11752,4.706624177362686e-05
Ticket_11753,8.168592306440235e-05
Ticket_11767,5.310402025438781e-05
Ticket_11769,5.826749312762394e-05
Ticket_11771,0.0005151467872056049
Ticket_11813,2.5419765251419858e-05
Ticket_11967,8.695574938842539e-05
Ticket_12749,2.0401674073101305e-05
Ticket_13049,0.0003193923711245521
Ticket_13213,0.00025770286171470367
Ticket_13214,8.695116467151757e-05
Ticket_13502,0.00023507411297509366
Ticket_13507,0.0003047500666108244
Ticket_13509,0.00041651819324565553
Ticket_13568,5.929566041891362e-07
Ticket_16966,0.00012692791674187662
Ticket_17421,8.138157108699788e-05
Ticket_17453,6.697527596880467e-05
Ticket_17463,0.00023056838058427577
Ticket_17465,1.047637157096965e-05
Ticket_17466,2.3542182284156603e-05
Ticket_17764,0.0002765774120362078
Ticket_19928,0.0006037124223326011
Ticket_19943,0.00011096942409269198
Ticket_19950,0.0001896066788621585
Ticket_19952,0.0001634230783499686
Ticket_19996,0.00019624128988838843
Ticket_230080,0.00012962332017282937
Ticket_230136,0.00020671449465280292
Ticket_24160,7.1264357271757e-05
Ticket_248698,5.038757116800848e-05
Ticket_248733,4.233366129970995e-06
Ticket_27042,0.00020624313889131403
Ticket_27267,5.325022229291162e-05
Ticket_28551,3.402560386156191e-05
Ticket_33638,8.236207061481792e-05
Ticket_34218,6.048312366023917e-06
Ticket_347054,0.001589602390970738
Ticket_348123,0.00038705728383947016
Ticket_348124,0.00025378815587891786
Ticket_35273,4.510427414799934e-05
Ticket_36947,0.00022922676220232035
Ticket_36963,0.00022109327804048655
Ticket_36967,0.0003297596281880864
Ticket_36973,0.00014400580527308032
Ticket_392096,0.00020363901264577633
Ticket_5727,0.00038241919139325536
Ticket_C.A. 34260,1.081034524498756e-06
Ticket_F.C. 12750,0.0004351573957250796
Ticket_PC 17473,8.336050334204376e-05
Ticket_PC 17475,0.0001579886730451769
Ticket_PC 17476,7.165352615531512e-05
Ticket_PC 17477,3.4413031545326705e-05
Ticket_PC 17482,4.2288169396722365e-06
Ticket_PC 17485,0.00011756148550053347
Ticket_PC 17558,0.00011244229319113317
Ticket_PC 17569,4.624273365196284e-05
Ticket_PC 17572,0.0005423267786354779
Ticket_PC 17582,0.00012353820958814263
Ticket_PC 17590,0.0003162676910869487
Ticket_PC 17592,2.5164004733297296e-05
Ticket_PC 17593,0.001162369035778344
Ticket_PC 17595,0.000736197415095502
Ticket_PC 17596,0.00026563665366692303
Ticket_PC 17599,3.8761603674628776e-05
Ticket_PC 17610,1.804943050181196e-05
Ticket_PC 17754,0.00019680369601325238
Ticket_PC 17755,0.0009021493729820883
Ticket_PC 17756,8.85255346266526e-06
Ticket_PC 17757,1.1677490484792959e-05
Ticket_PC 17758,0.0003064145407288303
Ticket_PC 17759,0.00022051225907719488
Ticket_PC 17760,3.938569142393125e-05
Ticket_PP 9549,0.0002526196601216702
Ticket_S.O./P.P. 3,0.0004829236881550843
Ticket_SC/AH Basle 541,2.9731087524367195e-06
Ticket_SC/Paris 2163,0.00015108640141307063
Ticket_SOTON/O.Q. 392078,0.00017101985878840872
Ticket_W.E.P. 5734,0.00035024260453338474
Ticket_WE/P 5735,0.00034812755153723173
Cabin_A10,0.0003862757914174929
