n_estimators,num_leaves,max_depth,learning_rate,subsample,colsample_bytree
244,244,12,0.02385234757844707,0.6624074561769746,0.662397808134481
164,223,9,0.04258888210290081,0.608233797718321,0.9879639408647978
358,66,2,0.002642526057549917,0.7216968971838151,0.8099025726528951
258,85,10,0.002094013887393744,0.7168578594140873,0.7465447373174767
264,204,2,0.015249965725213558,0.836965827544817,0.6185801650879991
302,56,0,0.15255065745117383,0.9862528132298237,0.9233589392465844
226,38,11,0.010299214204601972,0.6488152939379115,0.798070764044508
158,234,3,0.03345674213696821,0.7246844304357644,0.8080272084711243
287,59,16,0.06075805702761636,0.9757995766256756,0.9579309401710595
300,237,0,0.0028246357083904893,0.6180909155642152,0.7301321323053057
387,149,15,0.007465464004761572,0.8560354009870226,0.6154900799844731
214,117,16,0.12583701073823916,0.9969555436367596,0.902044231323346
204,130,13,0.15696516626001775,0.9024773678141386,0.8857945051136006
214,170,13,0.06602933043259797,0.7874820875551369,0.87629347406839
237,113,6,0.020979149851559853,0.9264292898946009,0.6730139514168567
181,168,13,0.005763333246233501,0.7683638957575183,0.689589490361874
333,198,7,0.09821429260893014,0.6769439514353582,0.8604911724169197
196,99,15,0.02555354428154683,0.8358394007383037,0.9178581456448356
243,134,12,0.0967434680024243,0.9186007623689508,0.7564376988040622
327,20,16,0.005808764580281692,0.7564760504940259,0.6671418787707455
189,252,9,0.0013326574431990071,0.8716728331381499,0.8336595467831766
200,105,14,0.027778695096941027,0.8294757870022368,0.9249016741935404
223,94,15,0.015491836386716444,0.9489031269752248,0.930167006748088
177,159,16,0.049838703913954265,0.672668447218228,0.951800318355228
174,182,16,0.04888791772786741,0.6761642385881557,0.9950148181948143
249,152,11,0.09646053454652063,0.6501852820451696,0.9614035607563236
272,121,14,0.06769522132234572,0.6918734266483824,0.8550465727809983
226,212,12,0.13732803888414805,0.6422684164238961,0.8945193191610618
217,195,5,0.1891385383553443,0.6221755001456811,0.8920146030584812
175,144,14,0.11085745987129904,0.6433517724343419,0.9617965811226886
