n_estimators,max_depth,learning_rate,subsample,colsample_bytree
244,10,0.0483437145318464,0.8394633936788146,0.6624074561769746
189,3,0.09842315738502598,0.8404460046972835,0.8832290311184182
155,10,0.08231433730995545,0.6849356442713105,0.6727299868828402
196,5,0.016124278458562614,0.7727780074568463,0.7164916560792167
303,4,0.0047014692435609715,0.7465447373174766,0.7824279936868144
347,4,0.015249965725213558,0.836965827544817,0.6185801650879991
302,4,0.0014115155493448343,0.9795542149013333,0.9862528132298237
352,5,0.001677824238407793,0.8736932106048627,0.7760609974958405
180,6,0.0011998556988857205,0.9637281608315128,0.7035119926400067
316,5,0.015728674194978587,0.8186841117373118,0.6739417822102108
389,8,0.0039031418298229796,0.6071847502459278,0.8560354009870226
378,8,0.004456957893283175,0.6259413280249357,0.8574850946495294
399,8,0.004547360008854828,0.7168953862007945,0.8079182573731435
262,8,0.004467978016234141,0.6048054277324512,0.9127816752690248
301,7,0.00689986728337597,0.6840186511899223,0.8141978064593092
284,7,0.031923955352415774,0.744096528790723,0.7666376763796262
252,6,0.007926674055332452,0.6737095088885845,0.798834157444341
227,3,0.008381007425177408,0.6741038957536337,0.9518455706906049
318,7,0.002059317158350999,0.9038804668287692,0.8220028472733677
342,9,0.16994915260405807,0.7793820294464149,0.7406086632532848
282,4,0.00936058482740482,0.7216372604196486,0.9103292531458084
369,7,0.0029230760975245103,0.6405321213255015,0.8401494351388934
320,9,0.0030119075537817022,0.647493640205167,0.8579785604763458
224,6,0.00586094673859394,0.7061581945391431,0.7597733567624084
400,9,0.0026420579438975315,0.7468313278518036,0.8843066829020957
291,8,0.02916586596037631,0.6011655166214789,0.7931394585845569
329,7,0.010502810963480033,0.645630112074689,0.8285362637046371
336,7,0.010598702669069175,0.661786667042518,0.7323269855685356
332,7,0.025811021014863676,0.6506719155937442,0.7204484828972557
360,6,0.010898934867070302,0.6936560614459444,0.6004455751036685
