n_estimators,num_leaves,max_depth,learning_rate,subsample,colsample_bytree
244,244,12,0.02385234757844707,0.6624074561769746,0.662397808134481
164,223,9,0.04258888210290081,0.608233797718321,0.9879639408647978
358,66,2,0.002642526057549917,0.7216968971838151,0.8099025726528951
258,85,10,0.002094013887393744,0.7168578594140873,0.7465447373174767
264,204,2,0.015249965725213558,0.836965827544817,0.6185801650879991
302,56,0,0.15255065745117383,0.9862528132298237,0.9233589392465844
226,38,11,0.010299214204601972,0.6488152939379115,0.798070764044508
158,234,3,0.03345674213696821,0.7246844304357644,0.8080272084711243
287,59,16,0.06075805702761636,0.9757995766256756,0.9579309401710595
300,237,0,0.0028246357083904893,0.6180909155642152,0.7301321323053057
389,129,6,0.15769462903616838,0.9935584941681304,0.9129509079547271
396,136,6,0.19730926524198897,0.998320875145006,0.9056742027196293
394,145,5,0.17097457018747797,0.8759561693398767,0.8952188690172705
392,139,6,0.09681165729706535,0.9182352106082323,0.8767556204965108
343,178,7,0.19582309742701834,0.9229973660909052,0.8643422901169147
347,107,4,0.006495976948506647,0.9990039790947575,0.9989464412530582
368,172,8,0.09095335954850313,0.9360299679712542,0.9401841148130579
324,111,13,0.08757729723951523,0.7835065024099739,0.8489643732353374
385,167,6,0.048320480571877586,0.8682180570419546,0.9174164705122803
327,172,14,0.042740305456253985,0.8052178647351174,0.8419680240041847
373,196,8,0.01894540118756534,0.883122982977572,0.9526431685557722
396,119,6,0.11812399725969108,0.9524839132815437,0.906965791682725
375,158,5,0.06496014734878242,0.887253280094888,0.8984553239225072
373,154,4,0.06155905593441167,0.8766705188735157,0.9698953097020376
204,157,4,0.06395731745304753,0.8393895467922385,0.8853427285606675
330,98,9,0.02999607787463547,0.9013251802373228,0.7636004284281295
355,192,2,0.007549556297493435,0.8422935735063454,0.8323890177265574
380,214,7,0.047737796149355374,0.7829669340138108,0.9287211378997813
315,200,7,0.04067909781963304,0.7658313612926887,0.9342840651769774
342,255,11,0.0011644616816482603,0.7413959908226224,0.7094289115145793
