Dataset,Task,Metric,RF,XGBoost,LightGBM,CatBoost,MLP,TabNet,TabPFN,APT
diamonds_v2,Regression,R2,0.9999672585776604,0.9999656081199646,0.98646346270519,0.9952387861258134,0.9918607273617118,0.9875408272062348,NA,NA
diamonds_v3,Regression,R2,0.9999814104768288,0.999981017383407,0.9951647368977568,0.994998913977732,0.943916512742327,0.8260630800406197,NA,NA
drybean,Multiclass classification,F1,0.9516944210458108,0.9678056680161944,0.9869192917670092,0.9859140673080038,0.7664142488442667,0.8389063785132873,0.874216828927801,0.6609517973856209
mnist,Multiclass classification,F1,1.0,1.0,1.0,1.0,0.997221686282076,1.0,0.9888084519292312,0.9415445942813256
telco,Binary classification,F1,0.0,0.6133720930232558,0.697274031563845,0.6068759342301944,0.6067415730337079,0.8839160839160839,0.5968436154949784,0.0
titanic,Binary classification,F1,0.9090909090909092,0.96,0.9411764705882352,1.0,0.8064516129032258,0.8064516129032258,0.8085106382978723,0.7843137254901961
