dataset,model,task,seed,metric_name,test_score,train_score_if_available,status,notes
telco,rf,classification,42,F1,0.0,0.0,success,fit_elapsed_sec=0.447
telco,rf,classification,123,F1,0.0,0.0,success,fit_elapsed_sec=0.454
telco,xgboost,classification,0,F1,0.593939393939394,0.6234727878563495,success,fit_elapsed_sec=3.821
telco,xgboost,classification,42,F1,0.5918367346938775,0.6267110617832038,success,fit_elapsed_sec=4.186
telco,xgboost,classification,123,F1,0.5833333333333334,0.6330615270570793,success,fit_elapsed_sec=3.809
telco,lgbm,classification,0,F1,0.5718432510885341,0.7689015691868759,success,fit_elapsed_sec=0.617
telco,lgbm,classification,42,F1,0.5441595441595442,0.7635714285714286,success,fit_elapsed_sec=0.627
telco,lgbm,classification,123,F1,0.5590778097982709,0.7738053097345132,success,fit_elapsed_sec=0.605
telco,catboost,classification,0,F1,0.5923664122137404,0.6292974588938715,success,fit_elapsed_sec=15.550
telco,catboost,classification,42,F1,0.5961820851688693,0.6424015009380863,success,fit_elapsed_sec=16.106
telco,catboost,classification,123,F1,0.5783132530120482,0.6382022471910113,success,fit_elapsed_sec=15.646
telco,mlp,classification,0,F1,0.6262924667651403,0.9649359406608228,success,fit_elapsed_sec=13.502
telco,mlp,classification,42,F1,0.6319702602230484,0.6531139077121653,success,fit_elapsed_sec=11.310
telco,mlp,classification,123,F1,0.5585585585585585,0.9642616318273768,success,fit_elapsed_sec=13.087
telco,tabnet,classification,0,F1,0.6167597765363129,0.6541899441340782,success,fit_elapsed_sec=81.386
telco,tabnet,classification,42,F1,0.628428927680798,0.6795164978765109,success,fit_elapsed_sec=89.015
telco,tabnet,classification,123,F1,0.6093552465233881,0.6241180243745991,success,fit_elapsed_sec=62.040
telco,tabpfn,classification,0,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
telco,tabpfn,classification,42,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
telco,tabpfn,classification,123,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
telco,apt,classification,0,F1,,,skipped,apt is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
telco,apt,classification,42,F1,,,skipped,apt is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
telco,apt,classification,123,F1,,,skipped,apt is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
titanic,rf,classification,0,F1,0.819672131147541,0.9245283018867924,success,fit_elapsed_sec=0.271
titanic,rf,classification,42,F1,0.8620689655172413,0.9289099526066352,success,fit_elapsed_sec=0.219
titanic,rf,classification,123,F1,0.8275862068965517,0.937799043062201,success,fit_elapsed_sec=0.218
titanic,xgboost,classification,0,F1,0.7843137254901961,0.9215686274509804,success,fit_elapsed_sec=0.257
titanic,xgboost,classification,42,F1,0.8679245283018868,0.9458128078817734,success,fit_elapsed_sec=0.172
titanic,xgboost,classification,123,F1,0.8,0.95,success,fit_elapsed_sec=0.168
titanic,lgbm,classification,0,F1,0.76,0.9489795918367347,success,fit_elapsed_sec=0.148
titanic,lgbm,classification,42,F1,0.84,0.9441624365482234,success,fit_elapsed_sec=0.113
titanic,lgbm,classification,123,F1,0.7777777777777778,0.9387755102040816,success,fit_elapsed_sec=0.115
titanic,catboost,classification,0,F1,0.8076923076923077,1.0,success,fit_elapsed_sec=0.264
titanic,catboost,classification,42,F1,0.8461538461538461,1.0,success,fit_elapsed_sec=0.159
titanic,catboost,classification,123,F1,0.8148148148148148,1.0,success,fit_elapsed_sec=0.159
titanic,mlp,classification,0,F1,0.819672131147541,0.8083333333333333,success,fit_elapsed_sec=0.043
titanic,mlp,classification,42,F1,0.8620689655172413,0.9074074074074074,success,fit_elapsed_sec=0.053
titanic,mlp,classification,123,F1,0.8148148148148148,0.984924623115578,success,fit_elapsed_sec=0.086
titanic,tabnet,classification,0,F1,0.4878048780487805,0.4794520547945205,success,fit_elapsed_sec=0.081
titanic,tabnet,classification,42,F1,0.8064516129032258,0.7815126050420168,success,fit_elapsed_sec=0.079
titanic,tabnet,classification,123,F1,0.0,0.0727272727272727,success,fit_elapsed_sec=0.074
titanic,tabpfn,classification,0,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
titanic,tabpfn,classification,42,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
titanic,tabpfn,classification,123,F1,,,skipped,tabpfn is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
titanic,apt,classification,0,F1,,,skipped,apt is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
titanic,apt,classification,42,F1,,,skipped,apt is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
titanic,apt,classification,123,F1,,,skipped,apt is a pretrained/default baseline; repeated random initialization is not applicable. Pass --include-pretrained to rerun context-based fits across split seeds.
diamonds_v2,rf,regression,0,R2,0.8129391464640574,0.9180700302785526,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.542
diamonds_v2,rf,regression,0,RMSE,10419.6747653967,6263.398863215701,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.542
diamonds_v2,rf,regression,42,R2,0.7557997108273449,0.9433605204281937,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.711
diamonds_v2,rf,regression,42,RMSE,7584.169249186235,5399.840646465387,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.711
diamonds_v2,rf,regression,123,R2,0.750461336454862,0.9128959327629376,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.502
diamonds_v2,rf,regression,123,RMSE,8958.781086731296,7611.85740291332,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=1.502
diamonds_v2,xgboost,regression,0,R2,0.7940176725387573,0.9999864101409912,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.623
diamonds_v2,xgboost,regression,0,RMSE,10933.96555109436,80.75066853111323,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.623
diamonds_v2,xgboost,regression,42,R2,0.8385674953460693,0.9999905824661255,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.637
diamonds_v2,xgboost,regression,42,RMSE,6166.382629853364,69.68028467290601,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.637
diamonds_v2,xgboost,regression,123,R2,0.6613584756851196,0.9999894499778748,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.595
diamonds_v2,xgboost,regression,123,RMSE,10436.38528991711,83.84269936515346,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.595
diamonds_v2,lgbm,regression,0,R2,0.8166931461448472,0.9001177429124428,success,deterministic row cap used for lightweight analysis: 10000/75363 rows; fit_elapsed_sec=0.620
