dataset,task_type,scenario,metric,catboost,lgbm,rf,xgboost,mlp,tabnet,apt,tabpfn
telco,classification,clean,train_time_sec,0.654600,0.625678,0.748258,0.065184,6.703028,2.110354,0.000000,0.000000
telco,classification,clean,model_size_mb,0.729250,0.571430,15.820168,0.276528,16.319605,1.734408,223.404947,37.788272
telco,classification,missingness,F1,0.564327,0.524300,0.568835,0.568116,0.623921,0.489164,0.000000,0.000000
telco,classification,missingness,train_time_sec,0.558661,0.348607,0.757700,0.062154,6.397912,1.053274,0.000000,0.000000
telco,classification,missingness,model_size_mb,0.727091,0.581593,16.009835,0.275619,16.319605,1.734408,223.404947,37.788272
telco,classification,missingness,overlap_count,9.000000,NA,10.000000,9.000000,7.000000,8.000000,0.000000,NA
telco,classification,missingness,jaccard,0.818182,NA,1.000000,0.818182,0.538462,0.666667,0.000000,NA
telco,classification,high_cardinality,F1,0.577320,0.492212,0.526946,0.579627,0.622166,0.499274,0.000000,0.727273
telco,classification,high_cardinality,train_time_sec,0.634560,0.334266,0.872519,0.075300,7.836723,0.830772,0.000000,0.000000
telco,classification,high_cardinality,model_size_mb,0.741821,0.569523,15.657815,0.275881,19.296808,1.749606,223.404947,37.788455
telco,classification,high_cardinality,overlap_count,9.000000,NA,9.000000,9.000000,5.000000,7.000000,0.000000,NA
telco,classification,high_cardinality,jaccard,0.818182,NA,0.818182,0.818182,0.333333,0.538462,0.000000,NA
